,City,Country,Latitude,Longitude,Date,Temperature (F),Temp Max,Humidity (%),Cloudiness (%),Windspeed (mph)
0,Jennings,US,38.72,-90.26,1600208260,78.69,81.0,44,75,5.82
1,Bluff,NZ,-46.6,168.33,1600208086,48.99,48.99,79,100,14.0
2,Kapaa,US,22.08,-159.32,1600208097,84.79,86.0,58,20,10.29
3,Lebu,CL,-37.62,-73.65,1600208260,50.95,50.95,96,100,6.06
4,Grand-Santi,GF,4.25,-54.38,1600208260,75.85,75.85,90,81,0.54
5,Atuona,PF,-9.8,-139.03,1600208090,78.39,78.39,76,16,18.7
6,Staryy Nadym,RU,65.61,72.68,1600208261,50.23,50.23,89,100,10.49
7,Rikitea,PF,-23.12,-134.97,1600208085,73.69,73.69,73,8,6.11
8,Norden,DE,53.6,7.2,1600208261,65.16,66.0,93,79,1.12
9,Mataura,NZ,-46.19,168.86,1600208088,48.99,48.99,79,100,14.0
10,Albany,US,42.6,-73.97,1600207804,60.57,62.01,55,3,2.8
11,Qaanaaq,GL,77.48,-69.36,1600207850,19.98,19.98,81,0,2.35
12,Ostrovnoy,RU,68.05,39.51,1600208133,44.22,44.22,79,100,10.42
13,Vilhena,BR,-12.74,-60.15,1600208215,89.6,89.6,29,15,8.05
14,Mildura,AU,-34.2,142.15,1600207913,51.37,55.0,61,78,3.36
15,Punta Arenas,CL,-53.15,-70.92,1600207845,39.97,41.0,56,40,19.46
16,Talnakh,RU,69.49,88.4,1600207954,53.6,53.6,71,100,8.95
17,Gebog,ID,-6.74,110.84,1600208261,71.58,71.58,81,1,4.94
18,Huarmey,PE,-10.07,-78.15,1600208088,64.51,64.51,74,39,9.26
19,Mackay,AU,-21.15,149.2,1600208261,68.25,69.8,83,75,19.46
20,Jamestown,US,42.1,-79.24,1600208087,64.26,66.0,51,1,4.7
21,Mar del Plata,AR,-38.0,-57.56,1600208261,60.19,60.8,38,30,16.11
22,Richards Bay,ZA,-28.78,32.04,1600208261,65.28,65.28,76,100,7.2
23,Shiraz,IR,29.6,52.54,1600208262,64.4,64.4,22,0,2.13
24,Hilo,US,19.73,-155.09,1600208102,79.99,84.2,58,40,9.17
25,Dicabisagan,PH,17.08,122.42,1600208262,78.28,78.28,86,100,4.5
26,Vestmannaeyjar,IS,63.44,-20.27,1600208262,47.61,47.61,69,77,6.87
27,Busselton,AU,-33.65,115.33,1600208088,50.95,52.0,80,40,10.67
28,Dunedin,NZ,-45.87,170.5,1600208147,52.7,52.7,50,51,18.81
29,Bloemfontein,ZA,-29.12,26.21,1600208099,44.6,44.6,30,24,7.2
30,Mīzan Teferī,ET,6.98,35.58,1600208262,62.96,62.96,85,99,2.55
31,Atasū,KZ,48.68,71.64,1600207906,53.58,53.58,50,71,9.1
32,New Norfolk,AU,-42.78,147.06,1600208089,48.79,50.0,65,100,5.99
33,Mujiayingzi,CN,42.12,118.78,1600208262,45.63,45.63,71,0,12.91
34,Longyearbyen,SJ,78.22,15.64,1600207871,32.0,32.0,95,75,2.24
35,Dandong,CN,40.13,124.39,1600208263,67.69,67.69,93,100,16.55
36,Butaritari,KI,3.07,172.79,1600208263,83.64,83.64,73,90,18.5
37,Saint-Philippe,RE,-21.36,55.77,1600207864,59.4,64.4,63,75,8.05
38,Nyimba,ZM,-14.56,30.81,1600208263,76.66,76.66,33,36,6.15
39,Barrow,US,71.29,-156.79,1600207820,35.6,35.6,88,90,28.86
40,Karaton,ID,-6.34,106.1,1600208263,74.03,75.0,94,20,2.24
41,Bredasdorp,ZA,-34.53,20.04,1600207858,51.8,51.8,76,36,3.36
42,Hasaki,JP,35.73,140.83,1600208263,69.53,72.0,94,75,6.93
43,Port Alfred,ZA,-33.59,26.89,1600208092,59.86,59.86,79,99,14.32
44,George Town,MY,5.41,100.34,1600208114,77.63,78.8,94,20,2.24
45,São Félix do Xingu,BR,-6.64,-51.99,1600208264,88.38,88.38,24,100,2.04
46,Ribeira Grande,PT,38.52,-28.7,1600207860,66.02,66.02,60,54,14.56
47,Byron Bay,AU,-28.65,153.62,1600207713,59.0,60.01,93,13,7.38
48,Iqaluit,CA,63.75,-68.51,1600208137,37.2,37.4,86,40,8.05
49,Provideniya,RU,64.38,-173.3,1600207874,48.2,48.2,81,75,8.95
50,Hithadhoo,MV,-0.6,73.08,1600207855,81.18,81.18,72,91,7.38
51,Ushuaia,AR,-54.8,-68.3,1600207886,37.4,37.4,74,40,23.04
52,Storsteinnes,NO,69.24,19.23,1600208264,44.35,46.4,100,100,6.93
53,Slave Lake,CA,55.28,-114.77,1600208025,50.0,50.0,66,75,10.29
54,Ukiah,US,39.15,-123.21,1600208175,90.9,91.4,13,1,9.17
55,Honiara,SB,-9.43,159.95,1600207764,78.8,78.8,94,90,5.82
56,Dolores,AR,-36.31,-57.68,1600208264,50.72,50.72,75,94,7.4
57,Sayyan,YE,15.17,44.32,1600207858,64.63,64.63,38,23,1.97
58,Cape Town,ZA,-33.93,18.42,1600208235,50.23,51.01,81,6,2.24
59,Nome,US,64.5,-165.41,1600208264,49.06,50.0,87,90,20.8
60,Arraial do Cabo,BR,-22.97,-42.03,1600208265,72.37,73.4,88,75,9.17
61,Pevek,RU,69.7,170.31,1600207860,42.28,42.28,83,98,5.41
62,Krutikha,RU,53.96,81.21,1600208265,57.42,57.42,52,89,9.64
63,Port Elizabeth,ZA,-33.92,25.57,1600207980,59.0,59.0,77,90,6.93
64,Politischer Bezirk Zwettl,AT,48.6,15.17,1600208265,57.0,57.0,86,8,3.47
65,Half Moon Bay,US,37.46,-122.43,1600208265,73.85,77.0,72,1,16.11
66,Tura,IN,25.52,90.22,1600208265,74.26,74.26,98,100,6.11
67,Egvekinot,RU,66.32,-179.17,1600207877,44.02,44.02,80,100,18.07
68,Ambon City,ID,-3.7,128.18,1600208265,75.2,75.2,94,75,5.82
69,Dikson,RU,73.51,80.55,1600208265,43.5,43.5,94,100,22.53
70,Bagdarin,RU,54.43,113.6,1600208266,37.76,37.76,78,0,2.51
71,San Patricio,MX,19.22,-104.7,1600208266,85.51,85.51,73,43,9.01
72,Atambua,ID,-9.11,124.89,1600208100,67.1,67.1,83,92,5.19
73,Lékoni,GA,-1.58,14.26,1600208266,75.34,75.34,81,100,6.08
74,Houma,US,29.6,-90.72,1600208266,84.69,84.99,74,75,18.34
75,Saint Paul Harbor,US,57.79,-152.41,1600208094,54.34,54.34,94,94,13.91
76,Beringovskiy,RU,63.05,179.32,1600207930,47.82,47.82,87,100,11.01
77,Hobart,AU,-42.88,147.33,1600207914,50.36,52.0,70,90,5.82
78,Norman Wells,CA,65.28,-126.83,1600208266,48.2,48.2,57,20,11.41
79,Chui,UY,-33.7,-53.46,1600208266,51.55,51.55,81,40,6.87
80,Saskylakh,RU,71.92,114.08,1600207856,44.89,44.89,77,83,5.82
81,Lusambo,CD,-4.97,23.45,1600208267,72.14,72.14,88,1,2.15
82,Jérémie,HT,18.65,-74.12,1600208267,84.43,84.43,73,27,4.56
83,Shimoda,JP,34.67,138.95,1600208267,66.99,66.99,96,100,1.01
84,Acapulco de Juárez,MX,16.86,-99.89,1600207945,84.2,84.2,74,75,4.7
85,Broken Hill,AU,-31.95,141.43,1600208267,53.6,53.6,40,39,6.93
86,Pangnirtung,CA,66.15,-65.71,1600207911,38.23,38.23,68,100,2.33
